Filename,Name,Type,Has_X,Has_Y,Has_Alpha,Has_CL,Error
2032c.dat,20-32C AIRFOIL,coordinates,Yes,Yes,No,No,
30p-30n.dat,# McDonnell Douglas (MDA) 30P-30N Coordinates,coordinates,Yes,Yes,No,No,
a18.dat,A18 (original),coordinates,Yes,Yes,No,No,
a18sm.dat,A18 (smoothed),coordinates,Yes,Yes,No,No,
a63a108c.dat,NASA/AMES 63A108 MOD C AIRFOIL,coordinates,Yes,Yes,No,No,
ag03.dat,AG03 (flat aft bottom),coordinates,Yes,Yes,No,No,
ag04.dat,AG04,coordinates,Yes,Yes,No,No,
ag08.dat,AG08,coordinates,Yes,Yes,No,No,
ag09.dat,AG09,coordinates,Yes,Yes,No,No,
ag10.dat,AG10,coordinates,Yes,Yes,No,No,
ag11.dat,AG11,coordinates,Yes,Yes,No,No,
ag12.dat,AG12,coordinates,Yes,Yes,No,No,
ag13.dat,AG13,coordinates,Yes,Yes,No,No,
ag14.dat,AG14,coordinates,Yes,Yes,No,No,
ag16.dat,AG16,coordinates,Yes,Yes,No,No,
ag17.dat,AG17,coordinates,Yes,Yes,No,No,
ag18.dat,AG18,coordinates,Yes,Yes,No,No,
ag19.dat,AG19,coordinates,Yes,Yes,No,No,
ag23.dat,AG23 XC Bubble Dancer Root Airfoil,coordinates,Yes,Yes,No,No,
ag24.dat,AG24 Bubble Dancer DLG by Mark Drela | The AG2x airfoils are intended to be used on composite versions of the Bubble Dancer and the Allegro-Lite.,coordinates,Yes,Yes,No,No,
ag25.dat,AG25 Bubble Dancer DLG by Mark Drela | The AG2x airfoils are intended to be used on composite versions of the Bubble Dancer and the Allegro-Lite.,coordinates,Yes,Yes,No,No,
ag26.dat,AG26 Bubble Dancer DLG by Mark Drela | The AG2x airfoils are intended to be used on composite versions of the Bubble Dancer and the Allegro-Lite.,coordinates,Yes,Yes,No,No,
ag27.dat,AG27 Bubble Dancer DLG by Mark Drela | The AG2x airfoils are intended to be used on composite versions of the Bubble Dancer and the Allegro-Lite.,coordinates,Yes,Yes,No,No,
ag35.dat,AG35,coordinates,Yes,Yes,No,No,
ag36.dat,AG36,coordinates,Yes,Yes,No,No,
ag37.dat,AG37,coordinates,Yes,Yes,No,No,
ag38.dat,AG38,coordinates,Yes,Yes,No,No,
ag44ct02r.dat,AG44ct -02f,coordinates,Yes,Yes,No,No,
ag455ct02r.dat,AG455ct -02f rot.,coordinates,Yes,Yes,No,No,
ag45c03.dat,AG45c -03f,coordinates,Yes,Yes,No,No,
ag45ct02r.dat,AG45ct -02f,coordinates,Yes,Yes,No,No,
ag46c03.dat,AG46c -03f,coordinates,Yes,Yes,No,No,
ag46ct02r.dat,AG46ct  -02f rot.,coordinates,Yes,Yes,No,No,
ag47c03.dat,AG47c -03f,coordinates,Yes,Yes,No,No,
ag47ct02r.dat,AG47ct  -02f rot.,coordinates,Yes,Yes,No,No,
ag52.dat,AG52,coordinates,Yes,Yes,No,No,
ag53.dat,AG53,coordinates,Yes,Yes,No,No,
ag54.dat,AG54,coordinates,Yes,Yes,No,No,
ag55.dat,AG55,coordinates,Yes,Yes,No,No,
ah21-7.dat,AH21 7% version (Andrew Hollom),coordinates,Yes,Yes,No,No,
ah21-9.dat,AH21 9% version (Andrew Hollom),coordinates,Yes,Yes,No,No,
ah63k127.dat,AH 63-K-127/24,coordinates,Yes,Yes,No,No,
ah6407.dat,AH-6-40-7 AIRFOIL,coordinates,Yes,Yes,No,No,
ah7476.dat,AH-7-47-6 AIRFOIL,coordinates,Yes,Yes,No,No,
ah79100a.dat,AH 79-100 A AIRFOIL,coordinates,Yes,Yes,No,No,
ah79100b.dat,AH 79-100 B AIRFOIL,coordinates,Yes,Yes,No,No,
ah79100c.dat,AH 79-100 C AIRFOIL,coordinates,Yes,Yes,No,No,
ah79k132.dat,AH 79-K-132/20,coordinates,Yes,Yes,No,No,
ah79k135.dat,AH 79-K-135/20 B,coordinates,Yes,Yes,No,No,
ah79k143.dat,AH 79-K-143/18,coordinates,Yes,Yes,No,No,
ah80129.dat,AH 80-129,coordinates,Yes,Yes,No,No,
ah80136.dat,AH 80-136,coordinates,Yes,Yes,No,No,
ah80140.dat,AH 80-140,coordinates,Yes,Yes,No,No,
ah81131.dat,AH 81-131,coordinates,Yes,Yes,No,No,
ah81k144.dat,AH 81-K-144/17,coordinates,Yes,Yes,No,No,
ah81k144wfKlappe.dat,AH 81-K-144 W-F KLAPPE,coordinates,Yes,Yes,No,No,
ah82150a.dat,AH 82-150 A,coordinates,Yes,Yes,No,No,
ah82150f.dat,AH 82-150 F,coordinates,Yes,Yes,No,No,
ah83150q.dat,AH 83-150 Q,coordinates,Yes,Yes,No,No,
ah83159.dat,AH 83-159,coordinates,Yes,Yes,No,No,
ah85l120.dat,AH 85-L-120/17,coordinates,Yes,Yes,No,No,
ah88k130.dat,AH 88-K-130/20,coordinates,Yes,Yes,No,No,
ah88k136.dat,AH 88-K-136/16,coordinates,Yes,Yes,No,No,
ah93156.dat,AH 93-156,coordinates,Yes,Yes,No,No,
ah93157.dat,AH 93-157,coordinates,Yes,Yes,No,No,
ah93k130.dat,AH 93-K-130/15,coordinates,Yes,Yes,No,No,
ah93k131.dat,AH 93-K-131/15,coordinates,Yes,Yes,No,No,
ah93k132.dat,AH 93-K-132/15,coordinates,Yes,Yes,No,No,
ah93w145.dat,AH 93-W-145,coordinates,Yes,Yes,No,No,
ah93w174.dat,AH 93-W-174,coordinates,Yes,Yes,No,No,
ah93w215.dat,AH 93-W-215,coordinates,Yes,Yes,No,No,
ah93w257.dat,AH 93-W-257,coordinates,Yes,Yes,No,No,
ah93w300.dat,AH 93-W-300,coordinates,Yes,Yes,No,No,
ah93w480b.dat,AH 93-W-480B,coordinates,Yes,Yes,No,No,
ah94145.dat,AH 94-145,coordinates,Yes,Yes,No,No,
ah94156.dat,AH 94-156,coordinates,Yes,Yes,No,No,
ah94w301.dat,AH 94-W-301,coordinates,Yes,Yes,No,No,
ah95160.dat,AH 95-160,coordinates,Yes,Yes,No,No,
