t_s,Thrust_N,Pressure_Pa,mdot_kgps,mass_kg,phase
0,250.072346022074,501325,9.30672903470724,0.857744890199294,water
0.001,246.957833943705,496343.2223218,9.24859238393903,0.848438161164587,water
0.002,243.914969808537,491476.048188281,9.19143801953379,0.839189568780648,water
0.003,240.941238381398,486719.454387419,9.13523669617555,0.829998130761114,water
0.004,238.034242610578,482069.606746027,9.07996039224149,0.820862894064938,water
0.005,235.19169670405,477522.849054911,9.02558224422233,0.811782933672697,water
0.006,232.411419689729,473075.692768265,8.97207648540826,0.802757351428474,water
0.007,229.691329420585,468724.807414626,8.91941838851521,0.793785274943066,water
0.008,227.029436989012,464467.011662452,8.86758421195492,0.784865856554551,water
0.009,224.423841518086,460299.264988542,8.81655114947728,0.775998272342596,water
0.01,221.872725300239,456218.65990217,8.76629728293699,0.767181721193119,water
0.011,219.374349256507,452222.414681978,8.71680153795725,0.758415423910182,water
0.012,216.927048691844,448307.866586448,8.6680436422821,0.749698622372225,water
0.013,214.529229324125,444472.465502144,8.62000408662612,0.741030578729942,water
0.014,212.179363566393,440713.767997023,8.57266408784603,0.732410574643316,water
0.015,209.875987043602,437029.431748845,8.52600555427247,0.72383791055547,water
0.016,207.617695326738,433417.210321266,8.48001105305342,0.715311905001198,water
0.017,205.40314086855,429874.948262442,8.43466377937224,0.706831893948144,water
0.018,203.23103012649,426400.57650305,8.38994752741411,0.698397230168772,water
0.019,201.100120859573,422992.108032523,8.34584666296428,0.690007282641358,water
0.02,199.009219586968,419647.633833973,8.30234609753045,0.681661435978394,water
0.021,196.957179197104,416365.319059858,8.25943126388992,0.673359089880863,water
0.022,194.942896696922,413143.399431842,8.21708809296914,0.665099658616974,water
0.023,192.965311091777,409980.177849603,8.17530299197079,0.656882570524004,water
0.024,191.023401387153,406874.021194517,8.13406282366894,0.648707267532034,water
0.025,189.116184704094,403823.357315207,8.09335488679939,0.640573204708365,water
0.026,187.242714500824,400826.67218297,8.05316689747694,0.632479849821565,water
0.027,185.402078893624,397882.507205948,8.01348697157651,0.624426682924088,water
0.028,183.59339907052,394989.456691767,7.97430360801931,0.616413195952512,water
0.029,181.815827791838,392146.165449119,7.93560567290957,0.608438892344492,water
0.03,180.068547972092,389351.326519442,7.89738238447086,0.600503286671583,water
0.031,178.350771338101,386603.679030519,7.85962329873468,0.592605904287112,water
0.032,176.661737158544,383902.006164368,7.82231829593715,0.584746280988377,water
0.033,175.000711040576,381245.13323237,7.78545756758275,0.57692396269244,water
0.034,173.366983789358,378631.925851056,7.74903160413644,0.569138505124857,water
0.035,171.759870326701,376061.288212435,7.71303118330848,0.561389473520721,water
0.036,170.178708665261,373532.161443175,7.67744735889833,0.553676442337413,water
0.037,168.622858934962,371043.52204734,7.64227145016628,0.545998994978514,water
0.038,167.091702458568,368594.380427723,7.60749503170335,0.538356723528348,water
0.039,165.584640873511,366183.77948119,7.57310992377218,0.530749228496645,water
0.04,164.101095297296,363810.793263699,7.53910818309305,0.523176118572872,water
0.041,162.64050553396,361474.525721014,7.50548209405089,0.515637010389779,water
0.042,161.202329319243,359174.109481324,7.47222416030069,0.508131528295728,water
0.043,159.786041602279,356908.704706276,7.43932709675017,0.500659304135428,water
0.044,158.391133861743,354677.497997139,7.40678382189953,0.493219977038678,water
0.045,157.017113454549,352479.701353006,7.37458745051984,0.485813193216778,water
0.046,155.663502995278,350314.551178182,7.3427312866523,0.478438605766258,water
0.047,154.329839764669,348181.307336031,7.31120881691186,0.471095874479606,water
0.048,153.015675145577,346079.25224678,7.28001370407964,0.463784665662694,water
0.049,151.720574084923,344007.690026878,7.24913978096948,0.456504651958614,water
0.05,150.444114580241,341965.945667716,7.21858104455487,0.449255512177645,water
0.051,149.18588718951,339953.364251584,7.1883316503432,0.44203693113309,water
0.052,147.945494563051,337969.310202922,7.15838590698501,0.434848599482747,water
0.053,146.72255099633,336013.166573009,7.12873827110689,0.427690213575762,water
0.054,145.516682002576,334084.334356356,7.0993833423569,0.420561475304655,water
0.055,144.327523904205,332182.231837166,7.0703158586523,0.413462091962298,water
0.056,143.154723442072,330306.293964325,7.04153069161992,0.406391776103646,water
0.057,141.997937401662,328455.971753475,7.01302284221988,0.399350245412026,water
0.058,140.856832255352,326630.731714803,6.98478743654403,0.392337222569806,water
0.059,139.731083819949,324830.055305259,6.95681972178091,0.385352435133262,water
0.06,138.620376928742,323053.43840399,6.92911506233945,0.378395615411481,water
0.061,137.524405117352,321300.390809845,6.90166893612401,0.371466500349142,water
0.062,136.442870322705,319570.435759875,6.87447693095385,0.364564831413018,water
0.063,135.375482594492,317863.109467797,6.84753474112049,0.357690354482064,water
0.064,134.321959818509,316177.960681469,6.82083816407651,0.350842819740943,water
0.065,133.28202745131,314514.55025846,6.79438309725017,0.344021981576867,water
0.066,132.255418265638,312872.450758851,6.76816553497994,0.337227598479616,water
0.067,131.241872106119,311251.246054466,6.74218156556377,0.330459432944637,water
0.068,130.241135654739,309650.530953738,6.71642736841805,0.323717251379073,water
0.069,129.25296220565,308069.910841507,6.6908992113414,0.317000824010655,water
0.07,128.277111448876,306509.001333043,6.66559344787873,0.310309924799313,water
0.071,127.313349262494,304967.427941643,6.64050651478129,0.303644331351435,water
0.0720000000000001,126.361447512929,303444.825759183,6.61563492955861,0.297003824836653,water
0.0730000000000001,125.421183862968,301940.839149039,6.59097528811822,0.290388189907095,water
0.0740000000000001,124.492341587167,300455.121450819,6.56652426248982,0.283797214618977,water
0.0750000000000001,123.574709394302,298987.334696366,6.54227859862986,0.277230690356487,water
0.0760000000000001,122.668081256567,297537.149336559,6.51823511430364,0.270688411757857,water
0.0770000000000001,121.772256245208,296104.243978395,6.49439069704138,0.264170176643553,water
0.0780000000000001,120.887038372315,294688.305131938,6.47074230216536,0.257675785946512,water
0.0790000000000001,120.012236438508,293289.026966683,6.44728695088521,0.251205043644346,water
0.0800000000000001,119.147663886251,291906.111076926,6.4240217284585,0.244757756693461,water
0.0810000000000001,118.293138658566,290539.266255772,6.40094378241414,0.238333734965003,water
0.0820000000000001,117.448483062897,289188.208277383,6.37805032083584,0.231932791182589,water
0.0830000000000001,116.613523639925,287852.659687139,6.35533861070352,0.225554740861753,water
0.0840000000000001,115.788091037111,286532.349599368,6.33280597629005,0.219199402251049,water
0.0850000000000001,114.972019886771,285227.013502321,6.31044979761141,0.212866596274759,water
0.0860000000000001,114.165148688501,283936.393070105,6.28826750892801,0.206556146477148,water
0.0870000000000001,113.367319695756,282660.235981268,6.26625659729531,0.20026787896822,water
0.0880000000000001,112.578378806433,281398.295743778,6.24441460116161,0.194001622370924,water
0.0890000000000001,111.798175457277,280150.331526115,6.22273910901147,0.187757207769763,water
0.0900000000000001,111.026562521952,278916.107994247,6.20122775805286,0.181534468660751,water
0.0910000000000001,110.263396212652,277695.395154239,6.17987823294629,0.175333240902699,water
0.0920000000000001,109.508535985078,276487.968200268,6.15868826457463,0.169153362669752,water
0.0930000000000001,108.761844446671,275293.607367838,6.13765562885172,0.162994674405178,water
0.0940000000000001,81.84097511924,274282.47632553,0.213032906532374,0.157744890199294,air
0.0950000000000001,100.009436368488,316898.028130166,0.24613204937972,0.157531857292762,air
0.0960000000000001,95.5943861014519,306542.181215351,0.238088749649376,0.157285725243382,air
0.0970000000000001,91.3236143739711,296524.750938708,0.230308295292948,0.157047636493732,air
0.0980000000000001,87.1924063366744,286834.678250993,0.222782096839337,0.156817328198439,air
0.0990000000000001,83.1962012158045,277461.265499408,0.215501845511039,0.1565945461016,air
0.1,79.3305872782124,268394.164617599,0.208459504051421,0.156379044256089,air
0.101,75.5912969608893,259623.36570159,0.201647297851741,0.156170584752038,air
0.102,71.9742021596593,251139.185959044,0.195057706368133,0.155968937454186,air
0.103,68.4753096718325,242932.259019648,0.188683454819071,0.155773879747818,air
0.104,65.0907567877865,234993.524594818,0.182517506154152,0.155585196292999,air
0.105,61.8168070266097,227314.21847532,0.176553053285326,0.155402678786845,air
0.106,58.6498460110985,219885.862855751,0.170783511572006,0.155226125733559,air
0.107,55.5863774775548,212700.256975203,0.165202511551748,0.155055342221987,air
0.108,52.6230194159788,205749.468063787,0.159803891908491,0.154890139710436,air
0.109,49.756500336395,199025.822585002,0.154581692670583,0.154730335818527,air
0.11,46.9836556571908,192521.897764306,0.149530148631085,0.154575754125856,air
0.111,44.3278744362061,186230.513394512,0.144564315923237,0.154426223977225,air
0.112,41.7055731480352,180148.063226731,0.139559537452958,0.154281659661302,air
0.113,39.1133560962125,174276.185878749,0.134514493144346,0.154142100123849,air
0.114,36.5551146346882,168616.575509691,0.129429227508724,0.154007585630705,air
0.115,34.0350155735721,163170.9244059,0.124303820353982,0.153878156403196,air
0.116,31.5575087470404,157940.92149585,0.119138381858259,0.153753852582842,air
0.117,29.1273323052902,152928.251072343,0.113933045007157,0.153634714200984,air
0.118,26.74951516748,148134.591832897,0.108687954593773,0.153520781155977,air
0.119,24.4293760290284,143561.616382955,0.103403251716152,0.153412093201383,air
0.12,22.1725182912982,139210.991391349,0.0980790523246744,0.153308689949667,air
0.121,19.9848202845475,135084.378648376,0.0927154178049446,0.153210610897342,air
0.122,17.8724201991808,131183.437361572,0.0873123147162065,0.153117895479537,air
0.123,15.8416952428927,127509.828145471,0.081869559444651,0.153030583164821,air
0.124,13.8992347252727,124065.21934004,0.0763867413253739,0.152948713605376,air
0.125,12.051807069073,120851.296563707,0.0708631140910398,0.152872326864051,air
